Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,meanGSR,standard deviationGSR,minGSR,maxGSR,medianGSR,modeGSR,skewGSR,KurtosisGSR,80_percentileGSR,60_percentileGSR,40_percentileGSR,20_percentileGSR,RMSGSR,IQRGSR,count>meanGSR,count<meanGSR,rangeGSR,COV_MGSR,meanHR,standard deviationHR,minHR,maxHR,medianHR,modeHR,skewHR,KurtosisHR,80_percentileHR,60_percentileHR,40_percentileHR,20_percentileHR,RMSHR,IQRHR,count>meanHR,count<meanHR,rangeHR,COV_MHR,Participant,Activity
1.50179993906e+12,1.50179999906e+12,634.1666667,45.19740651,461,733,637.0,625,-0.975426358,2.706139849,661.0,646.2,632.6,616.2,635.7752485,36.75,0.544444444,0.455555556,272,2065.758427,0.044444444,0.288888889,71.88152016,4,26,67.49808045,21,67.87777778,61.11111111,63.02222222,1.077045134,0.95125,2.809238333,0.207764411,2.4758,3.2987,2.82785,2.7718,0.285910417,-0.84783878,2.97012,2.8757,2.77044,2.5979,2.816910731,0.334175,0.525,0.475,0.8229,0.04352879,93.27118644,2.065294402,89.0,97.0,94.0,94.0,-0.284591969,-0.424099463,95.0,94.0,93.0,91.0,93.29404944,2.0,0.508474576,0.491525424,8.0,4.338983051,2,NA
1.50179990906e+12,1.50179996906e+12,644.8333333,43.80315818,461,733,645.0,605,-0.55744974,1.963697137,685.8,657.0,633.0,608.2,646.3193827,56.0,0.511111111,0.488888889,272,1940.275281,0.088888889,0.444444444,29.8881055,8,40,18.54767151,23,62.35555556,68.94444444,63.42222222,0.9831815,0.96725,2.728574167,0.172608205,2.4901,3.2987,2.71425,2.5346,1.170051894,1.606640141,2.84476,2.74504,2.67262,2.57396,2.734028269,0.219225,0.45,0.55,0.8086,0.030043959,92.7,1.594783162,90.0,96.0,93.0,93.0,-0.19329078,-0.725758328,94.0,93.0,93.0,91.0,92.71371707,3.0,0.633333333,0.366666667,6.0,2.586440678,2,Speech
1.50179987906e+12,1.50179993906e+12,647.3586957,38.84405319,572,729,645.0,605,0.123999956,-0.749975261,685.0,653.0,634.6,609.6,648.5230461,57.0,0.47826087,0.52173913,157,1525.441352,0.076086957,0.413043478,27.14652954,7,38,16.90330656,18,62.91304348,62.83695652,66.57608696,0.944979592,0.992616667,2.735935833,0.078599777,2.5192,2.9313,2.7398,2.5346,-0.764186744,1.341551584,2.78664,2.75116,2.73116,2.69984,2.737064634,0.067275,0.525,0.475,0.4121,0.00622984,92.40983607,1.519027398,89.0,96.0,92.0,92.0,0.185878427,-0.000216904,94.0,93.0,92.0,91.0,92.42232006,2.0,0.442622951,0.557377049,7.0,2.345901639,2,Speech
1.50179984906e+12,1.50179990906e+12,647.7173913,34.45328472,572,745,645.0,645,0.247999312,-0.087602993,676.2,653.0,637.0,617.8,648.633061,42.75,0.489130435,0.510869565,173,1200.073101,0.065217391,0.402173913,27.58961423,6,37,17.40530298,20,59.91304348,65.05434783,66.34782609,0.903014417,0.993166667,2.766600833,0.058374006,2.6174,2.9159,2.7614,2.7796,0.174329101,0.079904187,2.81372,2.77546,2.74698,2.72548,2.767216597,0.072575,0.45,0.55,0.2985,0.003436159,92.95,2.224297642,89.0,98.0,93.0,92.0,0.335515351,-0.237727569,95.0,93.0,92.0,91.8,92.97660996,2.0,0.516666667,0.483333333,9.0,5.031355932,2,Speech
1.50179981906e+12,1.50179987906e+12,635.2365591,36.59937065,568,745,629.0,605,0.533182578,0.009492938,665.0,641.8,621.0,605.0,636.2900282,48.0,0.451612903,0.548387097,177,1354.073866,0.064516129,0.365591398,26.54774206,6,34,17.55714408,15,58.15053763,59.52688172,66.97849462,0.868197142,0.984616667,2.821845833,0.074930599,2.6174,2.9793,2.82645,2.7573,-0.498704459,-0.04871755,2.89152,2.84096,2.8089,2.7655,2.822840502,0.106375,0.516666667,0.483333333,0.3619,0.005661776,94.76666667,2.551905606,89.0,99.0,95.0,94.0,-0.527245768,-0.480290874,97.0,96.0,94.0,92.8,94.80101969,4.0,0.516666667,0.483333333,10.0,6.62259887,2,Speech
1.50179978906e+12,1.50179984906e+12,634.8723404,27.32749922,568,705,637.0,637,0.047987481,0.095232849,657.0,641.0,633.0,609.0,635.4602119,32.0,0.521276596,0.478723404,137,754.8222375,0.042553191,0.319148936,22.55125584,4,30,15.42412308,23,62.85106383,69.0,61.36170213,1.024271845,0.994633333,2.975359167,0.136002261,2.7484,3.2583,2.9286,2.7904,0.372968149,-1.254795854,3.1293,2.98902,2.9082,2.84018,2.978465844,0.256925,0.408333333,0.591666667,0.5099,0.018652049,94.13333333,2.209575123,91.0,99.0,93.5,92.0,0.646858457,-0.925109943,97.0,94.0,93.0,92.0,94.15926225,4.0,0.3,0.7,8.0,4.964971751,2,Speech
1.50179975906e+12,1.50179981906e+12,647.6630435,28.97272975,588,729,643.0,637,0.451712498,-0.204513188,673.0,649.0,637.0,625.8,648.3107565,34.25,0.434782609,0.565217391,141,848.6434544,0.054347826,0.369565217,23.99221485,5,34,15.88763983,25,63.14130435,63.0,61.2173913,1.031427557,0.993083333,3.189913333,0.177242447,2.8344,3.573,3.1478,3.034,0.524294573,-0.463930614,3.36518,3.17602,3.12446,3.058,3.194833636,0.22135,0.358333333,0.641666667,0.7386,0.031678876,92.5,1.596871942,88.0,96.0,93.0,93.0,-0.52799303,0.292964245,94.0,93.0,92.0,91.8,92.51378276,1.25,0.55,0.45,8.0,2.593220339,2,Speech
1.50179972906e+12,1.50179978906e+12,638.8333333,43.43265245,412,729,634.5,613,-1.457112288,7.57062838,677.0,641.0,628.2,613.0,640.3080689,57.0,0.423076923,0.576923077,317,1910.893939,0.08974359,0.41025641,75.01578781,7,32,69.58371968,19,63.88461538,65.93589744,62.43589744,1.023203285,0.830483333,3.301240833,0.170022767,2.7686,3.573,3.3347,3.3137,-0.709701698,0.005405904,3.43834,3.39146,3.29274,3.1308,3.305616248,0.25655,0.558333333,0.441666667,0.8044,0.029150664,93.56666667,2.648060087,88.0,99.0,93.0,93.0,0.218857925,-0.622423351,96.0,94.0,93.0,91.8,93.60413096,3.25,0.45,0.55,11.0,7.131073446,2,Speech
1.50179969906e+12,1.50179975906e+12,622.1948052,38.42720862,412,701,617.0,601,-1.71925728,9.75500809,649.0,625.0,610.2,600.2,623.3803221,44.0,0.467532468,0.532467532,289,1496.079973,0.051948052,0.337662338,23.8117618,4,26,15.51114295,22,63.35064935,67.25974026,56.28571429,1.125519151,0.798483333,3.468934167,0.250999638,2.7686,3.986,3.43175,3.384,0.184103703,0.313420364,3.72906,3.45296,3.40498,3.32146,3.478003029,0.1953,0.35,0.65,1.2174,0.063530237,95.66666667,2.371122566,91.0,100.0,96.0,96.0,-0.350617493,-0.932868815,98.0,96.4,96.0,93.0,95.69604659,4.0,0.616666667,0.383333333,9.0,5.717514124,2,Speech
1.50179966906e+12,1.50179972906e+12,606.4479167,28.40329712,521,677,604.5,605,0.29628808,0.523517957,625.0,609.0,600.0,588.0,607.1126938,32.0,0.416666667,0.583333333,156,815.239364,0.072916667,0.28125,67.88620509,7,27,63.94667099,22,61.0,56.07291667,61.33333333,0.994565217,0.970316667,3.757361667,0.207226576,3.3197,4.0472,3.8479,3.7987,-0.711107114,-0.989444103,3.9292,3.87024,3.7987,3.49436,3.763071823,0.3654,0.658333333,0.341666667,0.7275,0.043303718,100.0333333,3.92838672,94.0,108.0,100.0,102.0,0.333039089,-0.932264374,103.0,102.0,98.0,96.0,100.110439,6.0,0.466666667,0.533333333,14.0,15.69378531,2,Speech
