Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51130335663e+12,1.51130341663e+12,74.28070175,2.833102484,70,82,73.0,73,1.038034788,0.145447994,76.8,74.0,73.0,72.0,74.33471008,3.0,0.298245614,0.701754386,12,8.169799499,21,NA
1.51130332663e+12,1.51130338663e+12,78.55932203,5.159395532,72,90,78.0,74,0.89711405,-0.254238717,83.4,78.8,76.0,74.0,78.72856178,7.0,0.406779661,0.593220339,18,27.07831677,21,NA
1.51130329663e+12,1.51130335663e+12,78.98333333,5.58119362,70,90,78.0,74,0.376990695,-0.817730458,84.0,80.0,76.6,74.0,79.18027953,9.25,0.483333333,0.516666667,20,31.67768362,21,NA
1.51130326663e+12,1.51130332663e+12,76.6440678,6.28898071,68,89,75.0,70,0.503382699,-0.937806376,83.0,77.8,73.2,71.0,76.90165412,9.5,0.440677966,0.559322034,21,40.23319696,21,Rest- TSST
1.51130323663e+12,1.51130329663e+12,72.94827586,7.072097708,65,89,72.0,65,1.021159144,0.072366477,77.6,73.0,69.8,67.0,73.29028256,7.75,0.465517241,0.534482759,24,50.89201452,21,Rest- TSST
1.51130320663e+12,1.51130326663e+12,70.57627119,4.396467726,65,80,70.0,67,0.486093772,-0.92280219,74.4,72.0,68.0,66.6,70.71307505,6.5,0.440677966,0.559322034,15,19.66218586,21,Rest- TSST
1.51130317663e+12,1.51130323663e+12,76.74576271,9.049006351,66,94,73.0,68,0.606320377,-1.084635024,87.0,76.8,72.0,68.0,77.27740038,17.0,0.406779661,0.593220339,28,83.29631794,21,Rest- TSST
1.51130314663e+12,1.51130320663e+12,74.0877193,10.70871215,64,94,67.0,66,0.750974282,-1.178307393,87.0,71.6,66.0,66.0,74.85764267,20.0,0.350877193,0.649122807,30,116.7243108,21,Rest- TSST
1.51130311663e+12,1.51130317663e+12,68.42105263,4.163110209,64,79,66.0,66,1.173404554,-0.00510901,72.0,67.0,66.0,65.2,68.5475888,5.0,0.315789474,0.684210526,15,17.64097744,21,Rest- TSST
1.51130308663e+12,1.51130314663e+12,73.62068966,6.177901625,65,86,72.0,66,0.614529803,-0.792180013,78.6,74.0,70.8,68.0,73.87944514,8.0,0.431034483,0.568965517,21,38.83605566,21,Rest- TSST
1.51130305663e+12,1.51130311663e+12,72.77586207,6.020204784,67,86,70.0,68,1.13150034,-0.226654553,76.6,71.0,69.0,68.0,73.02444088,7.0,0.344827586,0.655172414,19,36.87870538,21,Rest- TSST
1.51130302663e+12,1.51130308663e+12,73.92982456,6.161167721,67,87,72.0,68,0.822857152,-0.571999479,78.8,74.6,70.0,68.0,74.18611021,7.0,0.421052632,0.578947368,20,38.63784461,21,Rest- TSST
1.51130299663e+12,1.51130305663e+12,77.89655172,5.303511053,70,87,77.0,72,0.243682967,-1.355067566,84.0,79.0,75.0,72.4,78.07688518,9.0,0.5,0.5,17,28.62068966,21,Rest- TSST
1.51130296663e+12,1.51130302663e+12,76.53333333,4.595166543,70,86,75.5,72,0.46683476,-1.039663298,82.0,77.4,74.0,72.0,76.67115929,8.25,0.433333333,0.566666667,16,21.47344633,21,NA
1.51130293663e+12,1.51130299663e+12,76.81666667,3.900819002,71,87,76.0,76,0.889404703,0.281071096,79.0,77.0,75.0,74.0,76.91564644,5.0,0.416666667,0.583333333,16,15.47429379,21,NA
1.51130290663e+12,1.51130296663e+12,81.20689655,7.329107347,73,97,78.5,76,0.865190126,-0.64595064,87.6,80.0,76.0,75.0,81.5369601,11.5,0.327586207,0.672413793,24,54.65819722,21,NA
1.51130287663e+12,1.51130293663e+12,80.03448276,7.59075099,72,97,76.0,76,1.092184479,-0.290467776,87.6,77.2,76.0,74.4,80.3936436,9.75,0.275862069,0.724137931,25,58.63036903,21,NA
1.51130284663e+12,1.51130290663e+12,74.70689655,1.947665452,72,81,75.0,75,0.541220739,0.406454492,76.0,75.0,74.0,73.0,74.7322808,3.0,0.551724138,0.448275862,9,3.859951603,21,NA
1.51130281663e+12,1.51130287663e+12,75.33333333,2.536286368,72,82,75.0,74,0.843275391,0.238353719,77.0,75.0,74.0,73.2,75.37601648,3.0,0.368421053,0.631578947,10,6.547619048,21,NA
1.51130278663e+12,1.51130284663e+12,74.63793103,2.934328778,71,82,74.0,73,0.775355437,-0.135143994,77.0,75.0,73.0,72.0,74.69558912,3.0,0.413793103,0.586206897,11,8.761343013,21,NA
1.51130275663e+12,1.51130281663e+12,71.89830508,1.446151119,69,76,72.0,71,0.513933147,0.850552092,73.0,72.0,71.0,71.0,71.91284744,2.0,0.576271186,0.423728814,7,2.127410871,21,NA
1.51130272663e+12,1.51130278663e+12,71.88333333,2.994949452,67,80,72.0,72,0.324760573,0.203269348,74.0,72.0,71.0,69.8,71.94569711,3.25,0.583333333,0.416666667,13,9.121751412,21,NA
1.51130269663e+12,1.51130275663e+12,73.12068966,5.632655974,67,95,73.0,67,1.354624964,2.685938333,77.6,74.0,70.8,68.0,73.33731703,8.75,0.431034483,0.568965517,28,32.28342408,21,NA
