Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51018045228e+12,1.51018051228e+12,2.3821025,0.124342588,1.9211,2.5085,2.4141,2.357,-2.153394226,4.178067485,2.45788,2.42744,2.40042,2.36526,2.385345551,0.065075,0.691666667,0.308333333,0.5874,0.015591004,17,Arithmetic
1.51018042228e+12,1.51018048228e+12,2.2474575,0.173691194,1.9211,2.5085,2.2736,2.434,-0.330464256,-1.042932066,2.41682,2.28976,2.22116,2.05146,2.254159232,0.268325,0.566666667,0.433333333,0.5874,0.030422149,17,Arithmetic
1.51018039228e+12,1.51018045228e+12,2.195816667,0.104769213,1.9242,2.3323,2.2293,2.1899,-1.231977232,0.589679604,2.27996,2.25338,2.19022,2.14684,2.198314678,0.110075,0.575,0.425,0.4081,0.011068828,17,Arithmetic
1.51018036228e+12,1.51018042228e+12,2.337698333,0.114970905,2.1476,2.5063,2.30735,2.1899,0.141143597,-1.430933237,2.47704,2.33944,2.28406,2.23512,2.340523832,0.215825,0.408333333,0.591666667,0.3587,0.013329387,17,Arithmetic
1.51018033228e+12,1.51018039228e+12,2.493195,0.080598487,2.2696,2.5997,2.5,2.4945,-1.026184938,0.460519817,2.57148,2.51218,2.49066,2.45548,2.494497429,0.0873,0.583333333,0.416666667,0.3301,0.006550705,17,Arithmetic
1.51018030228e+12,1.51018036228e+12,2.454669167,0.150953841,2.0341,2.5997,2.5174,2.4971,-1.079594335,-0.175551258,2.57498,2.54824,2.50226,2.2642,2.459306362,0.2367,0.691666667,0.308333333,0.5656,0.02297855,17,Arithmetic
1.51018027228e+12,1.51018033228e+12,2.3175275,0.126759251,2.0341,2.5788,2.2877,2.2438,0.64993935,-0.233636927,2.45248,2.30116,2.26158,2.22922,2.320991517,0.139775,0.325,0.675,0.5447,0.016202932,17,NA
1.51018024228e+12,1.51018030228e+12,2.161199167,0.188150782,1.6114,2.4798,2.2303,2.2873,-1.122177158,0.202988307,2.30098,2.26874,2.19914,1.95914,2.16937377,0.202875,0.683333333,0.316666667,0.8684,0.035698202,17,Speech
1.51018021228e+12,1.51018027228e+12,2.093031667,0.180408847,1.6114,2.3174,2.16525,2.2179,-0.745582014,-0.478188017,2.2509,2.18478,2.09784,1.92808,2.100792448,0.255675,0.608333333,0.391666667,0.706,0.032820859,17,Speech
1.51018018228e+12,1.51018024228e+12,2.040421667,0.163059928,1.6205,2.3038,2.02835,2.05,-0.352707616,-0.433185301,2.20478,2.08566,1.98864,1.88106,2.04692675,0.242225,0.475,0.525,0.6833,0.026811973,17,Speech
1.51018015228e+12,1.51018021228e+12,2.088875,0.193703405,1.6205,2.3633,2.0528,2.2211,-0.120599876,-0.891276171,2.33412,2.1528,2.00332,1.90104,2.097836928,0.335275,0.458333333,0.541666667,0.7428,0.037836312,17,Speech
1.51018012228e+12,1.51018018228e+12,2.191813333,0.163429758,1.7112,2.3633,2.22745,2.1922,-1.385696077,1.248014892,2.33412,2.25722,2.2045,2.10642,2.197897853,0.1545,0.675,0.325,0.6521,0.026933734,17,Speech
1.51018009228e+12,1.51018015228e+12,2.125095,0.164457116,1.7112,2.3295,2.192,2.275,-0.954474319,-0.174455042,2.26202,2.21666,2.14702,1.96424,2.131449015,0.259225,0.625,0.375,0.6183,0.027273422,17,Speech
1.51018006228e+12,1.51018012228e+12,2.220393333,0.171734368,1.7371,2.4449,2.25495,1.9338,-0.657784638,-0.522784872,2.37486,2.27824,2.21446,2.0782,2.227024752,0.27195,0.591666667,0.408333333,0.7078,0.029740531,17,Speech
1.51018003228e+12,1.51018009228e+12,2.344655,0.144087619,1.9891,2.6285,2.3693,2.178,-0.332533876,-0.531474642,2.44474,2.39222,2.34238,2.1964,2.349078183,0.198,0.591666667,0.408333333,0.6394,0.020935706,17,Speech
