,Participant,activity,window_num,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg,mean_GSR,sd_GSR,min_GSR,max_GSR,meidan_GSR,skew_GSR,Kurtosis_GSR,08per_GSR,20perc_GSR,mean_polar,sd_polar,min_polar,max_polar,meidan_polar,skew_polar,Kurtosis_polar,08per_polar,20perc_polar,combined
1205,20,Ice Bucket 6,3,0.84824931,0.901960784,0.249149642,0.333333333,0.5,0.583333333,0.774193548,0.647342995,0.857142857,0.595839899,0.398085538,0.251821511,0.805520069,0.634733502,0.736350129,0.508108108,0.418403233,0.218852906,0.357920618,0.444696683,0.431756249,0.317734786,0.281195109,0.44006381,0.371212049,0.289442289,0.241084195,0.25,0.25,0.25,0.527754029,0.040408196,0.322580645,0.25,20Ice Bucket 6
1206,20,Prepare Speech,1,0.802118066,0.941176471,0.492912331,0.233333333,1.0,0.583333333,0.451612903,0.623188406,0.857142857,0.792629479,0.33023348,0.152618085,0.584642629,0.411250337,0.799548926,0.453012048,0.673912571,0.191330249,0.663154197,0.714003447,0.670221763,0.690479513,0.505675822,0.686909754,0.649846066,0.631600829,0.337803255,0.6,0.611111111,0.636363636,0.847907364,0.525066215,0.483870968,0.7,20Prepare Speech
1207,20,Prepare Speech,2,0.888019754,0.941176471,0.244174828,0.383333333,0.5,0.583333333,0.774193548,0.671497585,0.928571429,0.886411742,0.163897439,0.049050247,0.821753511,0.67117748,0.850382742,0.687804878,0.654794119,0.241805646,0.5991269,0.735990247,0.651921631,0.719386908,0.782024805,0.676545123,0.632955999,0.603625602,0.149133577,0.7,0.5,0.613636364,0.74267342,0.414572222,0.483870968,0.7,20Prepare Speech
1208,20,Prepare Speech,3,0.83184709,0.901960784,0.263903936,0.366666667,0.5,0.583333333,0.774193548,0.608695652,0.857142857,0.612363642,0.349667126,0.218562388,0.788600424,0.684254153,0.799548926,0.56626506,0.6221359,0.284236217,0.577550304,0.735990247,0.612619808,0.865644665,0.855881951,0.637593437,0.585667598,0.627296948,0.140501745,0.7,0.5,0.681818182,0.543043589,0.281469536,0.516129032,0.7,20Prepare Speech
1209,20,Prepare Speech,4,0.902025867,0.941176471,0.398206271,0.25,1.0,1.0,0.774193548,0.666666667,0.896428571,0.198043614,0.4300126,0.477053911,0.339305578,0.251436819,0.541660302,0.343902439,0.613734152,0.206028451,0.577550304,0.725059907,0.613113137,0.768758136,1.0,0.625259799,0.594486809,0.59360978,0.176130779,0.55,0.444444444,0.636363636,0.138407301,0.291701637,0.483870968,0.65,20Prepare Speech
1210,20,Prepare Speech,5,0.859488784,0.941176471,0.374277638,0.183333333,1.0,1.0,0.774193548,0.526570048,0.892857143,0.252611155,0.519158811,0.505571837,0.227185446,0.086825905,0.404450328,0.229268293,0.70274697,0.339460027,0.590596618,0.772396687,0.706563616,0.547082566,0.372194859,0.737183227,0.650035523,0.61697034,0.207257222,0.55,0.444444444,0.636363636,0.101199694,0.313853024,0.516129032,0.75,20Prepare Speech
1211,20,Prepare Speech,6,0.84056077,0.901960784,0.177903677,0.166666667,0.45,0.625,0.838709677,0.526570048,0.892857143,0.2780057,0.203987282,0.262779304,0.237880616,0.139328906,0.528435244,0.113253012,0.734157909,0.2431044,0.703095991,0.772396687,0.725615486,0.674441469,0.455016381,0.75,0.706067352,0.63290262,0.137649482,0.65,0.444444444,0.681818182,0.257386546,0.158524231,0.516129032,0.73,20Prepare Speech
1212,20,Prepare Speech,7,0.690884479,0.784313725,0.610863717,0.55,0.9,0.625,0.548387097,0.526570048,0.642857143,0.587073497,0.614157247,0.378304264,0.322868131,0.341122945,0.482039301,0.447619048,0.74879528,0.318737578,0.703095991,0.811031236,0.73816012,0.634892413,0.330513283,0.789188696,0.695022024,0.708730907,0.389215703,0.65,0.666666667,0.727272727,0.589215381,0.287114988,0.606451613,0.75,20Prepare Speech
1213,20,Prepare Speech,8,0.459931403,0.509803922,0.522262117,0.466666667,0.8,0.416666667,0.451612903,0.280193237,0.5,0.39542973,0.444250224,0.368069682,0.425889378,0.502250597,0.446244171,0.648275862,0.817268204,0.251027272,0.73832104,0.819901627,0.826794775,0.233893981,0.612122843,0.841631723,0.806858334,0.805908009,0.340379061,0.8,0.666666667,0.818181818,0.494960771,0.13358792,0.709677419,0.85,20Prepare Speech
1214,20,Prepare Speech,9,0.459757065,0.549019608,0.210789756,0.25,0.65,0.291666667,0.451612903,0.144927536,0.571428571,0.137078973,0.402163959,0.499845936,0.258515273,0.326449942,0.457898399,0.327906977,0.822942571,0.154009125,0.810376838,0.819901627,0.81977072,0.564730101,0.460474464,0.823154057,0.815431251,0.791979085,0.266418841,0.8,0.666666667,0.818181818,0.556749139,0.29515156,0.677419355,0.9,20Prepare Speech
