Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,Participant,Activity
1.50E+12,1.50E+12,624.0853659,43.39416652,420,689,631,601,-2.399940222,8.975850672,656.4,639.4,621,601.8,625.5921975,48,0.536585366,0.463414634,269,1906.301265,0.036585366,0.134146341,101.9246602,3,11,98.06605558,12,63.75609756,63.07317073,60.76829268,1.049167168,0.852916667,2,Rest4
1.50E+12,1.50E+12,662.2325581,34.12108208,596,753,657,665,0.578308909,-0.002653614,689,665,653,633,663.1110083,43,0.453488372,0.546511628,157,1177.94528,0.046511628,0.255813953,77.61026312,4,22,73.93130263,21,69.13953488,67.26744186,71.91860465,0.961358124,0.9492,2,Rest4
1.50E+12,1.50E+12,668.3333333,38.62185275,585,753,665,665,0.070411881,-0.500273105,697,679.4,661,633,669.448349,52,0.482758621,0.517241379,168,1508.992248,0.057471264,0.275862069,22.66274476,5,24,14.91966956,15,63.18390805,64.83908046,63.2183908,0.999454545,0.969083333,2,NA
1.50E+12,1.50E+12,655.5444444,40.93956552,576,745,659,693,0.047884927,-1.033209389,693,674.6,639.4,613,656.8215638,71,0.511111111,0.488888889,169,1694.880025,0.033333333,0.188888889,19.46878804,3,17,13.04789039,5,62.05555556,61.77777778,69.88888889,0.887917329,0.983316667,2,NA
1.50E+12,1.50E+12,665.5730337,38.03720463,576,729,669,665,-0.288857561,-0.82141393,701,680.4,657,625,666.6590524,56,0.505617978,0.494382022,153,1463.270174,0.02247191,0.235955056,19.87975215,2,21,13.07233136,10,65.82022472,70.70786517,70.94382022,0.927779538,0.987266667,2,NA
1.50E+12,1.50E+12,653.4945055,33.89264682,601,729,649,617,0.527162051,-0.753276757,685,657,641,621,654.3728144,54.5,0.428571429,0.571428571,128,1161.474969,0.010989011,0.21978022,18.26897796,1,20,12.17335686,7,62.28571429,62.2967033,61.85714286,1.006928406,0.991133333,2,NA
1.50E+12,1.50E+12,660.7222222,42.01667071,601,797,653,617,0.863647128,0.694143881,697,671.2,641,621,662.0568371,72,0.477777778,0.522222222,196,1785.236579,0.011111111,0.177777778,16.69084389,1,16,11.38812685,4,69.66666667,69,68.36666667,1.019015115,0.991083333,2,NA
1.50E+12,1.50E+12,660.6853933,46.25614943,569,797,661,653,0.324043247,0.25829932,701,672.4,649.8,619.4,662.3026651,64,0.516853933,0.483146067,228,2163.945352,0.02247191,0.179775281,17.4642492,2,16,12.55821156,6,63.51685393,66.16853933,61.08988764,1.039727791,0.980016667,2,NA
1.50E+12,1.50E+12,626.3913043,32.27293809,557,765,629,641,0.560163391,2.490777685,649,639.4,618.6,597.8,627.2221366,40,0.543478261,0.456521739,208,1052.988055,0.032608696,0.22826087,24.30546349,3,21,18.33509756,20,59.70652174,61.40217391,61.57608696,0.969638129,0.960466667,2,Cry
1.50E+12,1.50E+12,632.0215054,28.63638504,557,765,633,641,0.553550272,4.486569421,649,637,629,613,632.6699185,28,0.569892473,0.430107527,208,828.9560542,0.032258065,0.172043011,22.25396887,3,16,17.70806636,21,63.29032258,60.61290323,67.20430108,0.94176,0.979633333,2,NA
